Frame,Mg,NaCl
MG_15mM_1264_Box_50_run2_frame0042_SHL2,0.211075,0.334416
MG_15mM_1264_Box_50_run2_frame0043_SHL2,0.175045,0.212847
MG_15mM_1264_Box_50_run2_frame0045_SHL2,0.112616,0.137892
MG_15mM_1264_Box_50_run2_frame0047_SHL2,0.091292,0.137781
MG_15mM_1264_Box_50_run2_frame0060_SHL6,0.1761,0.24349
MG_15mM_1264_Box_50_run2_frame0062_SHL4,0.167174,0.204073
MG_15mM_1264_Box_50_run2_frame0064_SHL6,0.128586,0.216423
MG_15mM_1264_Box_50_run2_frame0080_SHL4,0.081406,0.1735
MG_15mM_1264_Box_50_run2_frame0085_SHL2,0.169187,0.274223
MG_15mM_1264_Box_50_run2_frame0120_SHL4,0.227267,0.201368
MG_15mM_1264_Box_50_run2_frame0145_SHL2,0.202301,0.286489
MG_15mM_1264_Box_50_run2_frame0146_SHL2,0.082613,0.152518
MG_15mM_1264_Box_50_run2_frame0153_SHL2,0.169089,0.272283
MG_15mM_1264_Box_50_run2_frame0154_SHL2,0.151105,0.227008
MG_15mM_1264_Box_50_run2_frame0155_SHL2,0.041104,0.130369
MG_15mM_1264_Box_50_run2_frame0206_SHL2,0.195651,0.245229
MG_15mM_1264_Box_50_run2_frame0221_SHL4,0.169258,0.280792
MG_15mM_1264_Box_50_run2_frame0222_SHL4,0.274285,0.357614
MG_15mM_1264_Box_50_run2_frame0223_SHL4,0.237765,0.351215
MG_15mM_1264_Box_50_run2_frame0224_SHL4,0.16558,0.221604
MG_15mM_1264_Box_50_run2_frame0224_SHL6,0.156002,0.217345
MG_15mM_1264_Box_50_run2_frame0228_SHL6,0.163703,0.238183
MG_15mM_1264_Box_50_run2_frame0231_SHL6,0.138016,0.25872
MG_15mM_1264_Box_50_run2_frame0234_SHL6,0.160462,0.310374
MG_15mM_1264_Box_50_run2_frame0251_SHL4,0.470349,0.542957
MG_15mM_1264_Box_50_run2_frame0252_SHL4,0.261854,0.321555
MG_15mM_1264_Box_50_run2_frame0252_SHL6,0.366412,0.466097
MG_15mM_1264_Box_50_run2_frame0253_SHL4,0.14592,0.202381
MG_15mM_1264_Box_50_run2_frame0253_SHL6,0.108601,0.211311
MG_15mM_1264_Box_50_run2_frame0258_SHL6,0.15624,0.267089
MG_15mM_1264_Box_50_run2_frame0265_SHL3,0.136926,0.160661
MG_15mM_1264_Box_50_run2_frame0274_SHL6,0.207624,0.20634
MG_15mM_1264_Box_50_run2_frame0282_SHL6,0.108606,0.125077
MG_15mM_1264_Box_50_run2_frame0289_SHL2,0.112404,0.238743
MG_15mM_1264_Box_50_run2_frame0290_SHL2,-0.007913,0.125042
MG_15mM_1264_Box_50_run2_frame0300_SHL2,0.086034,0.201928
MG_15mM_1264_Box_50_run2_frame0311_SHL2,0.088785,0.287497
MG_15mM_1264_Box_50_run2_frame0312_SHL2,0.132758,0.213167
MG_15mM_1264_Box_50_run2_frame0312_SHL6,0.161851,0.31415
MG_15mM_1264_Box_50_run2_frame0314_SHL2,0.13222,0.23477
MG_15mM_1264_Box_50_run2_frame0315_SHL2,0.115081,0.214511
MG_15mM_1264_Box_50_run2_frame0316_SHL2,0.159521,0.203958
MG_15mM_1264_Box_50_run2_frame0317_SHL6,0.194144,0.358902
MG_15mM_1264_Box_50_run2_frame0318_SHL2,0.298423,0.266716
MG_15mM_1264_Box_50_run2_frame0318_SHL6,0.208325,0.2289
MG_15mM_1264_Box_50_run2_frame0319_SHL6,0.276846,0.293608
MG_15mM_1264_Box_50_run2_frame0321_SHL4,0.078397,0.179245
MG_15mM_1264_Box_50_run2_frame0322_SHL2,0.089415,0.324128
MG_15mM_1264_Box_50_run2_frame0322_SHL4,0.175678,0.44109
MG_15mM_1264_Box_50_run2_frame0324_SHL2,0.294256,0.345066
MG_15mM_1264_Box_50_run2_frame0325_SHL2,0.209533,0.269126
MG_15mM_1264_Box_50_run2_frame0326_SHL2,0.384519,0.423716
MG_15mM_1264_Box_50_run2_frame0332_SHL2,0.077631,0.294843
MG_15mM_1264_Box_50_run2_frame0334_SHL2,0.261386,0.287086
MG_15mM_1264_Box_50_run2_frame0336_SHL2,0.040313,0.207683
MG_15mM_1264_Box_50_run2_frame0340_SHL2,0.161006,0.186174
MG_15mM_1264_Box_50_run2_frame0349_SHL2,0.173432,0.244538
MG_15mM_1264_Box_50_run2_frame0349_SHL6,0.160038,0.207642
MG_15mM_1264_Box_50_run2_frame0351_SHL6,0.231747,0.262495
