Frame,only_minor_groove,only_major_groove,only_dna_backbone,only_dna,only_gap,only_histone_tail,only_histone_core,only_acidic_patch,only_acidic_residues,only_histone,interface,binding_ions,unbinding_ions
7425,14,20,19,53,11,2,11,4,12,13,8,74,114
7450,14,22,16,52,9,2,9,4,10,11,8,71,117
7475,13,19,17,49,9,0,10,3,10,10,10,69,119
7500,16,18,22,56,9,1,9,3,9,10,6,72,116
7525,15,23,17,54,9,1,9,4,9,10,8,72,116
7550,16,21,18,55,9,0,11,4,10,11,6,72,116
7575,15,22,17,54,8,1,9,4,9,10,7,71,117
7600,15,24,18,57,9,1,9,3,9,10,7,74,114
7625,16,23,17,56,9,1,9,4,9,10,7,73,115
7650,14,24,17,55,9,1,9,4,9,10,7,72,116
7675,12,23,21,56,10,1,9,4,9,10,8,74,114
7700,12,25,21,58,8,1,9,3,9,10,7,75,113
7725,12,26,20,59,10,2,10,4,11,12,6,77,111
7750,11,26,18,55,4,2,9,4,10,11,10,76,112
7775,13,25,19,57,7,2,10,4,11,12,7,76,112
7800,11,26,18,55,9,3,10,4,11,12,8,75,113
7825,12,24,19,55,4,3,9,4,10,11,10,76,112
7850,11,24,25,60,6,2,9,4,10,11,8,79,109
7875,11,27,19,55,7,2,10,4,12,12,7,74,114
7900,11,26,21,58,10,2,10,4,11,12,8,78,110
7925,12,26,19,57,10,2,9,3,11,11,8,76,112
7950,12,23,19,54,11,2,10,4,12,12,8,74,114
7975,12,23,23,58,12,1,11,4,11,12,7,77,111
8000,12,24,22,58,9,2,10,4,12,12,6,76,112
8025,12,23,22,57,9,1,9,4,9,10,7,74,114
8050,15,22,18,55,11,2,10,5,11,12,9,76,112
8075,15,21,22,58,13,2,10,5,11,12,8,78,110
8100,16,23,21,60,10,4,11,4,10,14,6,80,108
8125,16,24,16,56,9,2,10,5,11,11,12,79,109
8150,16,23,22,61,9,2,10,5,11,11,8,80,108
8175,15,23,21,59,9,3,10,5,11,12,8,79,109
8200,16,23,21,60,9,3,10,5,11,12,8,80,108
8225,15,24,22,61,9,3,10,5,12,12,8,81,107
8250,13,21,20,54,11,3,10,5,12,12,9,75,113
8275,13,21,22,56,9,3,10,5,11,12,11,79,109
8300,15,22,22,59,10,2,11,5,12,12,10,81,107
8325,16,21,21,58,11,2,12,5,13,13,8,79,109
8350,15,19,26,60,9,3,11,5,13,13,9,82,106
8375,16,20,23,59,9,4,12,5,15,15,7,81,107
8400,15,22,19,56,11,4,13,5,15,16,9,81,107
8425,14,25,20,59,7,2,13,5,13,14,8,81,107
8450,17,24,17,58,8,3,13,5,13,15,8,81,107
8475,15,23,16,54,8,2,12,5,13,13,9,76,112
8500,14,22,23,59,10,3,13,5,14,15,9,83,105
8525,16,24,20,61,9,3,12,5,14,14,7,82,106
8550,18,22,18,58,10,4,12,5,15,15,7,80,108
8575,17,22,19,58,10,4,12,5,14,15,8,81,107
8600,15,23,20,58,12,2,12,5,13,13,9,80,108
8625,17,22,19,58,11,2,11,5,12,12,10,80,108
8650,17,21,19,57,13,3,12,5,13,14,10,81,107
8675,16,23,21,60,12,2,12,5,12,13,9,82,106
8700,16,24,18,58,11,2,13,5,14,14,8,80,108
8725,15,22,21,58,12,3,13,5,15,15,8,81,107
8750,15,23,19,57,13,3,12,5,14,14,12,83,105
8775,15,23,21,59,12,3,13,5,14,15,9,83,105
8800,16,21,20,57,12,3,13,5,15,15,11,83,105
8825,14,21,21,56,11,3,12,5,14,14,13,83,105
8850,14,21,21,56,9,3,13,5,15,15,10,81,107
8875,13,22,22,57,9,2,12,5,13,13,11,81,107
8900,13,24,25,62,11,3,12,5,12,14,11,87,101
8925,15,24,22,61,10,5,13,5,15,16,8,85,103
8950,15,23,21,59,13,4,12,5,14,15,10,84,104
8975,14,23,22,59,13,4,12,5,14,15,10,84,104
9000,14,24,21,59,14,3,12,5,14,14,9,82,106
9025,15,25,21,61,10,4,12,5,14,15,10,86,102
9050,15,24,18,57,12,3,12,5,14,14,11,82,106
9075,14,26,15,55,10,3,12,5,14,14,12,81,107
9100,14,27,16,57,6,4,11,5,13,14,11,82,106
9125,14,24,17,55,8,3,11,5,13,13,13,81,107
9150,13,25,15,53,11,4,12,5,15,15,14,82,106
9175,14,27,15,56,7,4,12,5,15,15,11,82,106
9200,14,24,16,54,7,5,12,5,16,16,11,81,107
9225,14,23,19,56,9,5,11,5,15,15,10,81,107
9250,14,27,15,56,7,5,11,5,15,15,8,79,109
9275,15,24,17,56,8,4,11,5,14,14,10,80,108
9300,15,27,15,57,9,4,13,5,16,16,8,81,107
9325,14,26,17,57,8,4,14,5,16,16,8,81,107
9350,12,26,18,56,8,4,11,4,13,14,12,82,106
9375,12,26,12,50,9,3,14,5,16,16,13,79,109
9400,14,25,17,56,10,2,14,5,15,15,9,80,108
9425,13,25,16,54,10,4,13,4,15,16,8,78,110
9450,13,24,19,56,12,4,12,5,15,15,9,80,108
9475,15,24,17,55,11,4,13,5,15,16,7,78,110
9500,15,24,18,57,11,3,14,5,14,16,10,83,105
9525,16,24,14,54,8,4,13,5,16,16,13,83,105
9550,15,23,17,55,9,4,12,5,15,15,12,82,106
9575,17,24,17,58,7,3,14,5,15,16,9,83,105
9600,17,23,21,61,10,3,13,5,15,15,10,86,102
9625,17,25,20,62,11,4,12,5,15,15,9,86,102
9650,17,25,16,58,6,5,14,5,17,18,8,84,104
9675,17,25,16,58,8,3,16,5,17,18,10,86,102
9700,17,28,13,58,10,3,15,5,17,17,10,85,103
9725,16,25,13,55,10,4,14,5,17,17,10,82,106
9750,15,25,18,59,10,3,13,5,15,15,11,85,103
9775,17,27,18,62,8,3,14,5,16,16,9,87,101
9800,16,26,15,57,10,5,15,5,19,19,9,85,103
9825,16,24,17,57,10,3,13,5,14,15,12,84,104
