Frame,only_minor_groove,only_major_groove,only_dna_backbone,only_dna,only_gap,only_histone_tail,only_histone_core,only_acidic_patch,only_acidic_residues,only_histone,interface,binding_ions,unbinding_ions
10775,6,13,25,44,20,0,16,3,16,16,15,75,113
10800,5,13,27,46,20,0,16,3,16,16,13,75,113
10825,8,11,24,43,20,0,16,3,16,16,15,74,114
10850,6,12,26,44,20,0,16,3,16,16,12,72,116
10875,7,13,24,44,18,1,16,3,16,17,13,74,114
10900,7,11,26,44,18,2,17,3,17,19,10,73,115
10925,7,11,25,43,22,2,17,3,17,19,12,74,114
10950,8,12,25,45,20,1,16,3,17,17,13,75,113
10975,9,11,26,46,21,2,17,3,18,18,12,76,112
11000,7,13,25,45,20,0,16,3,16,16,15,76,112
11025,9,15,22,46,17,1,16,3,15,17,13,76,112
11050,9,13,23,45,19,2,16,3,16,18,10,73,115
11075,8,11,24,43,18,1,16,3,16,17,13,73,115
11100,9,13,21,43,17,2,16,3,17,18,12,73,115
11125,9,12,21,42,18,1,16,3,17,17,13,72,116
11150,10,16,16,42,16,1,16,4,17,17,13,72,116
11175,11,9,18,38,15,1,15,3,16,16,18,72,116
11200,11,11,23,45,18,1,17,3,17,18,15,78,110
11225,11,12,20,43,17,1,16,3,17,17,15,75,113
11250,10,13,17,40,16,0,15,3,15,15,17,72,116
11275,10,14,19,43,18,1,17,3,18,18,13,74,114
11300,10,15,18,43,16,1,16,3,17,17,14,74,114
11325,9,15,18,42,15,1,15,3,16,16,14,72,116
11350,10,14,23,47,16,2,15,3,16,17,12,76,112
11375,10,14,19,43,17,1,14,3,15,15,16,74,114
11400,9,11,23,43,18,1,15,3,15,16,14,73,115
11425,8,15,19,42,17,1,15,3,15,16,15,73,115
11450,9,15,20,44,12,1,18,3,18,19,11,74,114
11475,10,13,19,42,17,2,16,4,16,18,14,74,114
11500,9,14,20,43,15,1,16,3,17,17,11,71,117
11525,8,14,19,41,14,1,18,4,18,18,13,72,116
11550,8,11,24,43,15,1,17,3,18,18,12,73,115
11575,9,12,27,48,15,2,18,3,18,20,8,76,112
11600,9,10,22,41,15,1,16,3,16,16,15,72,116
11625,9,15,22,46,13,1,16,3,16,16,13,75,113
11650,12,14,20,46,13,1,18,3,17,18,10,74,114
11675,10,13,20,43,15,1,16,3,16,17,14,74,114
11700,10,15,19,45,15,1,15,3,16,16,13,74,114
11725,11,12,20,43,17,1,16,3,16,16,15,74,114
11750,9,11,25,46,16,1,17,3,16,17,12,75,113
11775,8,9,24,41,16,0,15,3,14,15,18,74,114
11800,8,12,22,43,17,0,16,3,15,16,15,74,114
11825,9,12,22,43,16,0,17,3,16,17,12,72,116
11850,9,10,22,41,14,0,19,4,18,19,13,73,115
11875,10,11,22,43,16,0,17,3,16,17,12,72,116
11900,9,9,23,41,16,0,17,3,16,17,13,71,117
11925,9,14,22,45,14,2,18,3,18,19,11,75,113
11950,9,11,19,39,14,1,19,3,18,19,13,71,117
11975,7,13,23,44,18,1,17,3,16,18,13,75,113
12000,8,12,23,44,16,0,18,3,17,18,13,75,113
12025,9,9,26,44,16,1,18,3,18,19,10,73,115
12050,9,10,23,42,16,1,19,4,18,19,12,73,115
12075,9,13,24,46,16,1,18,4,18,19,10,75,113
12100,9,10,23,42,18,1,17,3,17,18,13,73,115
12125,9,12,22,43,16,1,16,3,16,17,12,72,116
12150,9,12,27,48,18,2,17,3,17,18,10,76,112
12175,9,13,27,49,14,1,17,3,17,18,9,76,112
12200,8,10,27,45,15,1,17,4,17,18,10,73,115
12225,9,12,24,45,14,1,15,4,15,16,13,74,114
12250,9,14,21,44,14,1,17,3,16,17,10,71,117
12275,10,12,27,49,15,1,15,3,16,16,10,75,113
12300,11,10,21,43,15,1,14,3,14,14,13,70,118
12325,11,13,15,40,14,1,15,3,14,16,13,69,119
12350,11,10,22,43,15,1,16,3,16,17,12,72,116
12375,10,10,27,47,16,1,17,3,17,18,10,75,113
12400,11,11,23,45,17,1,17,3,17,18,12,75,113
12425,12,12,24,47,18,1,16,3,16,17,10,74,114
12450,10,15,23,48,15,1,15,3,15,16,13,77,111
12475,11,12,26,49,13,1,16,3,16,17,11,77,111
