system,h_avg,delta_h,r_avg,delta_r,Youngs_modulus
MG_15mM_1264_wo_run3_part3,53.592,0.574,54.504,0.327,9.816
MG_15mM_1264_wo_run3_part4,53.221,0.469,54.847,0.311,12.458
MG_15mM_1264_wo_run3_part5,52.966,0.526,54.965,0.278,12.481
MG_15mM_1264_wo_run3_part6,52.991,0.639,55.018,0.241,11.328
MG_15mM_1264_wo_run3_part7,52.866,0.469,54.97,0.243,16.041
MG_15mM_1264_wo_run3_part8,52.779,0.515,54.935,0.301,11.834
MG_15mM_1264_wo_run3_part9,52.686,0.478,55.098,0.238,15.948
MG_15mM_1264_wo_run3_part10,52.991,0.483,55.023,0.273,13.866
MG_15mM_1264_wo_run3_part11,52.788,0.542,55.054,0.297,11.335
MG_15mM_1264_wo_run3_part12,53.133,0.587,54.88,0.28,11.054
MG_15mM_1264_wo_run3_part13,53.298,0.569,54.975,0.26,12.222
MG_15mM_1264_wo_run3_part14,53.743,0.54,54.792,0.252,13.384
MG_15mM_1264_wo_run3_part15,53.253,0.627,54.934,0.283,10.165
MG_15mM_1264_wo_run3_part16,52.856,0.49,54.728,0.261,14.345
MG_15mM_1264_wo_run3_part17,52.872,0.532,54.867,0.254,13.435
MG_15mM_1264_wo_run3_part18,53.075,0.513,54.933,0.248,14.3
MG_15mM_1264_wo_run3_part19,52.871,0.435,54.741,0.263,16.057
MG_15mM_1264_wo_run3_part20,53.116,0.425,54.659,0.263,16.383
MG_15mM_1264_wo_run3_part21,52.929,0.5,54.482,0.274,13.488
MG_15mM_1264_wo_run3_part22,53.202,0.426,54.514,0.26,16.636
MG_15mM_1264_wo_run3_part23,53.203,0.536,54.601,0.311,11.042
MG_15mM_1264_wo_run3_part24,53.22,0.553,54.773,0.283,11.705
