Frame,System,Number
199,MG_15mM_1264_wo_rw_run2,3
200,MG_15mM_1264_wo_rw_run2,4
201,MG_15mM_1264_wo_rw_run2,2
202,MG_15mM_1264_wo_rw_run2,0
203,MG_15mM_1264_wo_rw_run2,0
204,MG_15mM_1264_wo_rw_run2,2
205,MG_15mM_1264_wo_rw_run2,5
206,MG_15mM_1264_wo_rw_run2,0
207,MG_15mM_1264_wo_rw_run2,3
208,MG_15mM_1264_wo_rw_run2,0
209,MG_15mM_1264_wo_rw_run2,0
210,MG_15mM_1264_wo_rw_run2,2
211,MG_15mM_1264_wo_rw_run2,0
212,MG_15mM_1264_wo_rw_run2,3
213,MG_15mM_1264_wo_rw_run2,0
214,MG_15mM_1264_wo_rw_run2,3
215,MG_15mM_1264_wo_rw_run2,3
216,MG_15mM_1264_wo_rw_run2,3
217,MG_15mM_1264_wo_rw_run2,3
218,MG_15mM_1264_wo_rw_run2,3
219,MG_15mM_1264_wo_rw_run2,3
220,MG_15mM_1264_wo_rw_run2,2
221,MG_15mM_1264_wo_rw_run2,0
222,MG_15mM_1264_wo_rw_run2,2
223,MG_15mM_1264_wo_rw_run2,0
224,MG_15mM_1264_wo_rw_run2,0
225,MG_15mM_1264_wo_rw_run2,3
226,MG_15mM_1264_wo_rw_run2,1
227,MG_15mM_1264_wo_rw_run2,2
228,MG_15mM_1264_wo_rw_run2,3
229,MG_15mM_1264_wo_rw_run2,0
230,MG_15mM_1264_wo_rw_run2,0
231,MG_15mM_1264_wo_rw_run2,3
232,MG_15mM_1264_wo_rw_run2,0
233,MG_15mM_1264_wo_rw_run2,4
234,MG_15mM_1264_wo_rw_run2,7
235,MG_15mM_1264_wo_rw_run2,3
236,MG_15mM_1264_wo_rw_run2,2
237,MG_15mM_1264_wo_rw_run2,0
238,MG_15mM_1264_wo_rw_run2,3
239,MG_15mM_1264_wo_rw_run2,0
240,MG_15mM_1264_wo_rw_run2,5
241,MG_15mM_1264_wo_rw_run2,6
242,MG_15mM_1264_wo_rw_run2,0
243,MG_15mM_1264_wo_rw_run2,2
244,MG_15mM_1264_wo_rw_run2,0
245,MG_15mM_1264_wo_rw_run2,0
246,MG_15mM_1264_wo_rw_run2,0
247,MG_15mM_1264_wo_rw_run2,5
248,MG_15mM_1264_wo_rw_run2,0
249,MG_15mM_1264_wo_rw_run2,0
250,MG_15mM_1264_wo_rw_run2,1
251,MG_15mM_1264_wo_rw_run2,0
252,MG_15mM_1264_wo_rw_run2,0
253,MG_15mM_1264_wo_rw_run2,0
254,MG_15mM_1264_wo_rw_run2,0
255,MG_15mM_1264_wo_rw_run2,0
256,MG_15mM_1264_wo_rw_run2,0
257,MG_15mM_1264_wo_rw_run2,1
258,MG_15mM_1264_wo_rw_run2,1
259,MG_15mM_1264_wo_rw_run2,1
260,MG_15mM_1264_wo_rw_run2,0
261,MG_15mM_1264_wo_rw_run2,1
262,MG_15mM_1264_wo_rw_run2,2
263,MG_15mM_1264_wo_rw_run2,0
264,MG_15mM_1264_wo_rw_run2,0
265,MG_15mM_1264_wo_rw_run2,1
266,MG_15mM_1264_wo_rw_run2,0
267,MG_15mM_1264_wo_rw_run2,1
268,MG_15mM_1264_wo_rw_run2,0
269,MG_15mM_1264_wo_rw_run2,0
270,MG_15mM_1264_wo_rw_run2,10
271,MG_15mM_1264_wo_rw_run2,4
272,MG_15mM_1264_wo_rw_run2,3
273,MG_15mM_1264_wo_rw_run2,2
274,MG_15mM_1264_wo_rw_run2,2
275,MG_15mM_1264_wo_rw_run2,2
276,MG_15mM_1264_wo_rw_run2,0
277,MG_15mM_1264_wo_rw_run2,1
278,MG_15mM_1264_wo_rw_run2,3
279,MG_15mM_1264_wo_rw_run2,5
280,MG_15mM_1264_wo_rw_run2,4
281,MG_15mM_1264_wo_rw_run2,5
282,MG_15mM_1264_wo_rw_run2,0
283,MG_15mM_1264_wo_rw_run2,3
284,MG_15mM_1264_wo_rw_run2,0
285,MG_15mM_1264_wo_rw_run2,0
286,MG_15mM_1264_wo_rw_run2,0
287,MG_15mM_1264_wo_rw_run2,0
288,MG_15mM_1264_wo_rw_run2,0
289,MG_15mM_1264_wo_rw_run2,0
290,MG_15mM_1264_wo_rw_run2,0
291,MG_15mM_1264_wo_rw_run2,1
292,MG_15mM_1264_wo_rw_run2,3
293,MG_15mM_1264_wo_rw_run2,3
294,MG_15mM_1264_wo_rw_run2,0
295,MG_15mM_1264_wo_rw_run2,0
296,MG_15mM_1264_wo_rw_run2,0
297,MG_15mM_1264_wo_rw_run2,0
298,MG_15mM_1264_wo_rw_run2,0
299,MG_15mM_1264_wo_rw_run2,1
300,MG_15mM_1264_wo_rw_run2,2
301,MG_15mM_1264_wo_rw_run2,1
302,MG_15mM_1264_wo_rw_run2,0
303,MG_15mM_1264_wo_rw_run2,0
304,MG_15mM_1264_wo_rw_run2,0
305,MG_15mM_1264_wo_rw_run2,0
306,MG_15mM_1264_wo_rw_run2,0
307,MG_15mM_1264_wo_rw_run2,0
308,MG_15mM_1264_wo_rw_run2,3
309,MG_15mM_1264_wo_rw_run2,1
310,MG_15mM_1264_wo_rw_run2,0
311,MG_15mM_1264_wo_rw_run2,1
312,MG_15mM_1264_wo_rw_run2,1
313,MG_15mM_1264_wo_rw_run2,1
314,MG_15mM_1264_wo_rw_run2,0
315,MG_15mM_1264_wo_rw_run2,1
316,MG_15mM_1264_wo_rw_run2,2
317,MG_15mM_1264_wo_rw_run2,1
318,MG_15mM_1264_wo_rw_run2,1
319,MG_15mM_1264_wo_rw_run2,1
320,MG_15mM_1264_wo_rw_run2,0
321,MG_15mM_1264_wo_rw_run2,0
322,MG_15mM_1264_wo_rw_run2,3
323,MG_15mM_1264_wo_rw_run2,4
324,MG_15mM_1264_wo_rw_run2,2
325,MG_15mM_1264_wo_rw_run2,0
326,MG_15mM_1264_wo_rw_run2,2
327,MG_15mM_1264_wo_rw_run2,6
328,MG_15mM_1264_wo_rw_run2,7
329,MG_15mM_1264_wo_rw_run2,5
330,MG_15mM_1264_wo_rw_run2,2
331,MG_15mM_1264_wo_rw_run2,2
332,MG_15mM_1264_wo_rw_run2,3
333,MG_15mM_1264_wo_rw_run2,2
334,MG_15mM_1264_wo_rw_run2,1
335,MG_15mM_1264_wo_rw_run2,5
336,MG_15mM_1264_wo_rw_run2,5
337,MG_15mM_1264_wo_rw_run2,9
338,MG_15mM_1264_wo_rw_run2,10
339,MG_15mM_1264_wo_rw_run2,14
340,MG_15mM_1264_wo_rw_run2,12
341,MG_15mM_1264_wo_rw_run2,13
342,MG_15mM_1264_wo_rw_run2,11
343,MG_15mM_1264_wo_rw_run2,13
344,MG_15mM_1264_wo_rw_run2,9
345,MG_15mM_1264_wo_rw_run2,11
346,MG_15mM_1264_wo_rw_run2,11
347,MG_15mM_1264_wo_rw_run2,14
348,MG_15mM_1264_wo_rw_run2,14
349,MG_15mM_1264_wo_rw_run2,15
350,MG_15mM_1264_wo_rw_run2,16
351,MG_15mM_1264_wo_rw_run2,13
352,MG_15mM_1264_wo_rw_run2,21
353,MG_15mM_1264_wo_rw_run2,18
354,MG_15mM_1264_wo_rw_run2,20
355,MG_15mM_1264_wo_rw_run2,17
356,MG_15mM_1264_wo_rw_run2,18
357,MG_15mM_1264_wo_rw_run2,16
358,MG_15mM_1264_wo_rw_run2,19
359,MG_15mM_1264_wo_rw_run2,15
360,MG_15mM_1264_wo_rw_run2,15
361,MG_15mM_1264_wo_rw_run2,20
362,MG_15mM_1264_wo_rw_run2,17
363,MG_15mM_1264_wo_rw_run2,16
364,MG_15mM_1264_wo_rw_run2,15
365,MG_15mM_1264_wo_rw_run2,12
366,MG_15mM_1264_wo_rw_run2,15
367,MG_15mM_1264_wo_rw_run2,14
368,MG_15mM_1264_wo_rw_run2,18
369,MG_15mM_1264_wo_rw_run2,19
370,MG_15mM_1264_wo_rw_run2,12
371,MG_15mM_1264_wo_rw_run2,14
372,MG_15mM_1264_wo_rw_run2,16
373,MG_15mM_1264_wo_rw_run2,15
374,MG_15mM_1264_wo_rw_run2,13
375,MG_15mM_1264_wo_rw_run2,20
376,MG_15mM_1264_wo_rw_run2,23
377,MG_15mM_1264_wo_rw_run2,21
378,MG_15mM_1264_wo_rw_run2,20
379,MG_15mM_1264_wo_rw_run2,22
380,MG_15mM_1264_wo_rw_run2,18
381,MG_15mM_1264_wo_rw_run2,20
382,MG_15mM_1264_wo_rw_run2,26
383,MG_15mM_1264_wo_rw_run2,19
384,MG_15mM_1264_wo_rw_run2,20
385,MG_15mM_1264_wo_rw_run2,17
386,MG_15mM_1264_wo_rw_run2,15
387,MG_15mM_1264_wo_rw_run2,17
388,MG_15mM_1264_wo_rw_run2,18
389,MG_15mM_1264_wo_rw_run2,18
390,MG_15mM_1264_wo_rw_run2,18
391,MG_15mM_1264_wo_rw_run2,18
392,MG_15mM_1264_wo_rw_run2,14
393,MG_15mM_1264_wo_rw_run2,14
394,MG_15mM_1264_wo_rw_run2,23
395,MG_15mM_1264_wo_rw_run2,20
396,MG_15mM_1264_wo_rw_run2,22
397,MG_15mM_1264_wo_rw_run2,22
398,MG_15mM_1264_wo_rw_run2,17
399,MG_15mM_1264_wo_rw_run2,21
400,MG_15mM_1264_wo_rw_run2,20
401,MG_15mM_1264_wo_rw_run2,24
402,MG_15mM_1264_wo_rw_run2,22
403,MG_15mM_1264_wo_rw_run2,25
404,MG_15mM_1264_wo_rw_run2,18
405,MG_15mM_1264_wo_rw_run2,25
406,MG_15mM_1264_wo_rw_run2,23
407,MG_15mM_1264_wo_rw_run2,23
408,MG_15mM_1264_wo_rw_run2,26
409,MG_15mM_1264_wo_rw_run2,20
410,MG_15mM_1264_wo_rw_run2,26
411,MG_15mM_1264_wo_rw_run2,28
412,MG_15mM_1264_wo_rw_run2,23
413,MG_15mM_1264_wo_rw_run2,27
414,MG_15mM_1264_wo_rw_run2,25
415,MG_15mM_1264_wo_rw_run2,26
416,MG_15mM_1264_wo_rw_run2,22
417,MG_15mM_1264_wo_rw_run2,19
418,MG_15mM_1264_wo_rw_run2,20
419,MG_15mM_1264_wo_rw_run2,21
420,MG_15mM_1264_wo_rw_run2,19
421,MG_15mM_1264_wo_rw_run2,19
422,MG_15mM_1264_wo_rw_run2,17
423,MG_15mM_1264_wo_rw_run2,17
424,MG_15mM_1264_wo_rw_run2,24
425,MG_15mM_1264_wo_rw_run2,22
426,MG_15mM_1264_wo_rw_run2,19
427,MG_15mM_1264_wo_rw_run2,19
428,MG_15mM_1264_wo_rw_run2,18
