Frame,minor_groove,major_groove,DNA_backbone,DNA_gap,histone_tail,histone_core,interface
9975,10,24,13,11,0,16,11
10000,10,24,18,10,0,13,13
10025,10,24,16,12,0,14,14
10050,8,23,15,11,2,11,14
10075,8,22,20,11,0,12,14
10100,8,22,21,10,0,13,10
10125,9,21,19,11,1,14,11
10150,9,20,18,13,0,15,12
10175,10,22,18,11,1,14,11
10200,10,21,16,12,1,14,14
10225,11,22,15,10,0,15,14
10250,12,21,16,10,1,14,13
10275,13,21,16,11,1,14,13
10300,12,21,16,10,1,15,14
10325,11,21,16,11,1,15,15
10350,12,21,16,10,1,14,16
10375,11,21,18,10,1,15,14
10400,11,23,19,11,0,16,12
10425,11,24,17,11,0,15,10
10450,10,23,20,13,0,15,10
10475,8,23,20,11,0,15,11
10500,10,22,18,11,0,15,12
10525,11,23,19,12,0,15,10
10550,11,22,18,10,1,15,12
10575,11,26,19,10,0,15,10
10600,12,27,14,8,1,13,14
10625,14,25,13,8,1,13,13
10650,13,25,13,10,0,13,13
10675,13,25,15,8,0,14,12
10700,12,24,15,9,1,13,14
10725,12,25,15,9,0,13,15
10750,13,26,13,9,1,16,11
10775,12,25,13,8,1,15,12
10800,10,22,20,10,0,17,9
10825,10,24,16,11,1,17,8
10850,10,23,21,12,1,15,9
10875,10,24,16,11,4,17,7
10900,12,22,14,10,3,15,11
10925,12,21,15,10,2,15,11
10950,12,21,14,8,2,15,11
10975,11,23,12,8,2,15,14
11000,11,23,13,11,0,15,12
11025,9,25,14,9,0,16,10
11050,9,23,13,8,1,15,14
11075,9,25,14,11,0,16,12
11100,10,25,14,10,1,16,11
11125,10,24,17,9,1,16,11
11150,9,24,16,9,2,15,12
11175,10,24,17,9,0,16,11
11200,11,23,16,11,1,15,11
11225,9,24,17,9,2,14,11
11250,9,23,18,11,1,14,12
11275,8,25,17,11,1,15,12
11300,7,25,18,9,2,14,12
11325,8,25,17,12,2,14,12
11350,9,24,16,11,2,15,10
11375,10,24,14,12,2,14,14
11400,9,22,15,11,1,15,15
11425,8,24,19,10,1,14,12
11450,9,23,17,11,1,15,13
11475,8,24,18,11,1,16,11
11500,8,23,13,8,1,19,14
11525,7,25,14,8,0,21,12
11550,8,25,20,9,1,19,10
11575,9,26,15,10,1,19,8
11600,10,25,16,6,0,18,12
11625,12,26,14,8,1,16,12
11650,7,24,19,7,2,16,12
11675,9,25,19,8,2,16,14
11700,11,25,16,8,2,16,14
11725,11,24,15,8,2,16,14
11750,12,27,17,5,2,17,9
11775,11,25,19,7,1,16,13
11800,10,24,20,8,0,17,12
11825,10,27,18,9,0,17,13
11850,11,28,19,8,0,18,8
11875,11,27,17,10,1,16,13
11900,9,28,19,10,0,17,11
11925,9,26,22,9,0,16,12
11950,8,26,26,9,0,16,11
11975,8,25,22,11,1,16,14
12000,8,24,22,9,1,18,13
12025,7,25,23,11,1,19,12
12050,9,23,23,12,2,16,14
12075,9,24,24,8,1,18,10
12100,9,27,21,6,1,17,11
12125,10,26,19,10,1,16,14
12150,11,25,18,13,1,16,15
12175,12,23,20,11,1,17,14
12200,13,23,21,11,1,18,9
12225,14,25,21,12,2,18,11
12250,14,23,20,10,1,17,13
12275,13,23,18,9,0,17,16
12300,13,24,18,10,1,17,17
12325,13,24,19,9,1,19,14
12350,13,24,22,10,0,19,13
12375,12,25,21,10,1,19,10
12400,11,26,19,10,2,17,12
12425,12,26,13,9,3,18,11
12450,12,24,19,11,2,15,17
12475,12,25,18,11,0,16,15
