Frame,minor_groove,major_groove,DNA_backbone,DNA_gap,histone_tail,histone_core,DNA-histone_interface
4620,7,13,18,0,3,13,16
4630,6,12,18,0,3,15,17
4640,8,11,18,1,3,13,20
4650,6,13,18,1,2,13,19
4660,8,10,21,1,2,15,14
4670,7,12,21,1,2,14,17
4680,7,12,19,1,2,14,17
4690,7,12,21,1,2,12,18
4700,5,10,24,1,3,14,16
4710,7,12,24,1,2,14,15
4720,7,10,23,1,2,12,18
4730,9,16,19,0,3,15,13
4740,8,14,22,1,2,12,16
4750,8,13,22,0,2,13,16
4760,7,14,22,0,3,12,19
4770,7,16,22,0,2,13,16
4780,8,12,22,0,2,12,19
4790,8,14,24,0,2,12,17
4800,10,14,20,0,2,12,19
4810,9,13,20,0,2,13,19
4820,7,9,25,1,2,14,16
4830,7,12,25,1,1,12,18
4840,7,14,19,1,2,13,16
4850,9,14,21,1,4,13,12
4860,11,14,18,2,3,12,14
4870,11,11,19,2,1,13,17
4880,11,11,18,4,3,15,10
4890,12,14,17,1,3,15,10
4900,11,13,18,1,3,12,14
4910,9,12,19,1,3,12,15
4920,11,12,18,0,2,13,17
4930,11,13,16,1,2,15,16
4940,12,13,14,1,2,14,17
4950,11,13,13,1,3,13,19
4960,11,12,20,1,3,12,16
4970,11,13,20,1,3,14,14
4980,8,11,24,1,2,14,14
4990,5,13,22,1,3,14,14
